Date : 2022-01-14 11:34:21
Directory : c:\xampp_new\htdocs
Total : 917 files,  405173 codes, 23229 comments, 73654 blanks, all 502056 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\portfolio-single-4.html                                      | Django HTML |        906 |          0 |        174 |      1,080 |
| c:\xampp_new\htdocs\www\portfolio-single-5.html                                      | Django HTML |        888 |          0 |        168 |      1,056 |
| c:\xampp_new\htdocs\www\portfolio-wide-2col.html                                     | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-3col.html                                     | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-4col.html                                     | Django HTML |        941 |          0 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-5col.html                                     | Django HTML |        971 |          0 |        155 |      1,126 |
| c:\xampp_new\htdocs\www\portfolio-wide-blackhover.html                               | Django HTML |        941 |          0 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-2col.html                              | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-3col.html                              | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-4col.html                              | Django HTML |        941 |          0 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-5col.html                              | Django HTML |        971 |          0 |        155 |      1,126 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-blackhover.html                        | Django HTML |        941 |          0 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-2col.html                              | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-3col.html                              | Django HTML |        911 |          0 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-4col.html                              | Django HTML |        941 |          0 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-5col.html                              | Django HTML |        971 |          0 |        155 |      1,126 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-blackhover.html                        | Django HTML |        941 |          0 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\rs-plugin\css\settings-ie8.css                               | CSS         |        531 |         83 |        180 |        794 |
| c:\xampp_new\htdocs\www\rs-plugin\css\settings.css                                   | CSS         |      1,742 |        141 |        462 |      2,345 |
| c:\xampp_new\htdocs\www\rs-plugin\font\revicons.svg                                  | XML         |         54 |          0 |          0 |         54 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.plugins.min.js                | JavaScript  |          8 |         66 |         16 |         90 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.revolution.js                 | JavaScript  |      4,088 |        542 |      1,599 |      6,229 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.revolution.min.js             | JavaScript  |          1 |          6 |          2 |          9 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.tools.min.js                  | JavaScript  |         40 |         73 |         30 |        143 |
| c:\xampp_new\htdocs\www\shop-cart.html                                               | Django HTML |        906 |          0 |        162 |      1,068 |
| c:\xampp_new\htdocs\www\shop-columns-2col.html                                       | Django HTML |      1,232 |          0 |        259 |      1,491 |
| c:\xampp_new\htdocs\www\shop-columns-3col.html                                       | Django HTML |      1,195 |          0 |        250 |      1,445 |
| c:\xampp_new\htdocs\www\shop-columns-4col.html                                       | Django HTML |      1,253 |          0 |        288 |      1,541 |
| c:\xampp_new\htdocs\www\shop-single.html                                             | Django HTML |      1,142 |          0 |        226 |      1,368 |
| c:\xampp_new\htdocs\www\special-barbershop-about.html                                | Django HTML |        260 |          0 |         57 |        317 |
| c:\xampp_new\htdocs\www\special-barbershop-contact.html                              | Django HTML |        322 |          0 |         78 |        400 |
| c:\xampp_new\htdocs\www\special-barbershop-gallery.html                              | Django HTML |        283 |          0 |         71 |        354 |
| c:\xampp_new\htdocs\www\special-barbershop-pricing.html                              | Django HTML |        540 |          0 |         57 |        597 |
| c:\xampp_new\htdocs\www\special-barbershop.html                                      | Django HTML |        553 |          0 |        111 |        664 |
| c:\xampp_new\htdocs\www\special-coming-soon-1.html                                   | Django HTML |        422 |          0 |        104 |        526 |
| c:\xampp_new\htdocs\www\special-coming-soon-2.html                                   | Django HTML |        419 |          0 |        110 |        529 |
| c:\xampp_new\htdocs\www\special-construction-1-about.html                            | Django HTML |        571 |          0 |        165 |        736 |
| c:\xampp_new\htdocs\www\special-construction-1-contact.html                          | Django HTML |        446 |          0 |        113 |        559 |
