Date : 2022-01-10 17:20:23
Directory : c:\xampp_new\htdocs\old
Total : 555 files,  156571 codes, 14759 comments, 25419 blanks, all 196749 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\old\apps\jup\tbl_marks.sql                                       | SQL        |         24 |         30 |         14 |         68 |
| c:\xampp_new\htdocs\old\apps\lmaoxd\index.php                                        | PHP        |        118 |          0 |         31 |        149 |
| c:\xampp_new\htdocs\old\apps\others\dict\check.php                                   | PHP        |          9 |          0 |          6 |         15 |
| c:\xampp_new\htdocs\old\apps\others\dict\index.php                                   | PHP        |         15 |          0 |          6 |         21 |
| c:\xampp_new\htdocs\old\apps\others\dict\simple_html_dom.php                         | PHP        |      1,696 |        302 |        356 |      2,354 |
| c:\xampp_new\htdocs\old\apps\others\dork_tool\dorker.php                             | PHP        |         34 |          2 |          8 |         44 |
| c:\xampp_new\htdocs\old\apps\others\dork_tool\dorks.xml                              | XML        |         26 |          0 |          4 |         30 |
| c:\xampp_new\htdocs\old\apps\others\dork_tool\index copy.php                         | PHP        |        322 |         34 |         59 |        415 |
| c:\xampp_new\htdocs\old\apps\others\dork_tool\index.php                              | PHP        |        322 |         34 |         59 |        415 |
| c:\xampp_new\htdocs\old\apps\others\dork_tool\keywords.php                           | PHP        |          2 |          0 |          0 |          2 |
| c:\xampp_new\htdocs\old\apps\others\index.php                                        | PHP        |        278 |          0 |         59 |        337 |
| c:\xampp_new\htdocs\old\apps\others\scd\LICENSE.md                                   | Markdown   |        169 |          0 |         34 |        203 |
| c:\xampp_new\htdocs\old\apps\others\scd\README.md                                    | Markdown   |          4 |          0 |          3 |          7 |
| c:\xampp_new\htdocs\old\apps\others\scd\console.php                                  | PHP        |         27 |          1 |         11 |         39 |
